scenario,attachment_size_kb,repeat,scenario_turn,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,cumulative_cost_usd,latency_budget_pass,cost_budget_pass,memory_drift_fact,memory_drift_pass,http_status
pivot,0,1,6,5,a362315c-b225-447e-a89d-75f7f790adc6,126,0,10,0,0,8785,646,0.001705,9551,none,default,0.013416,False,True,Flutter,True,200
pivot,0,1,7,6,a362315c-b225-447e-a89d-75f7f790adc6,128,0,12,0,0,9556,620,0.001805,9216,none,default,0.015221,False,True,Flutter,True,200
pivot,0,1,8,7,a362315c-b225-447e-a89d-75f7f790adc6,124,0,12,0,677,17897,966,0.003264,12263,none,default,0.018485,False,True,Flutter,True,200
pivot,0,1,9,,a362315c-b225-447e-a89d-75f7f790adc6,,,,,,,,,,,,,,,,,502
pivot,0,2,1,,30bc3479-6f98-48df-8cca-a7724c517801,,,,,,,,,,,,,,,,,502
pivot,0,2,2,,30bc3479-6f98-48df-8cca-a7724c517801,,,,,,,,,,,,,,,,,502
pivot,0,2,3,,30bc3479-6f98-48df-8cca-a7724c517801,,,,,,,,,,,,,,,,,502
pivot,0,2,4,,30bc3479-6f98-48df-8cca-a7724c517801,,,,,,,,,,,,,,,,,502
pivot,0,2,5,,30bc3479-6f98-48df-8cca-a7724c517801,,,,,,,,,,,,,,,,,502
pivot,0,2,6,1,30bc3479-6f98-48df-8cca-a7724c517801,126,0,2,0,0,10049,756,0.001961,13031,none,default,0.001961,False,True,,True,200
pivot,0,2,7,,30bc3479-6f98-48df-8cca-a7724c517801,,,,,,,,,,,,,,,,,502
pivot,0,2,8,2,30bc3479-6f98-48df-8cca-a7724c517801,124,0,4,0,0,2536,274,0.000545,4696,none,default,0.002506,True,True,,True,200
pivot,0,2,9,,30bc3479-6f98-48df-8cca-a7724c517801,,,,,,,,,,,,,,,,,502
pivot,0,3,1,1,452d82da-5db6-41ac-b2ae-74819498c092,210,0,2,0,0,5486,638,0.001206,10283,none,default,0.001206,False,True,Project Nimbus,True,200
pivot,0,3,2,2,452d82da-5db6-41ac-b2ae-74819498c092,160,0,4,0,0,31578,1701,0.005757,25137,none,default,0.006963,False,True,Project Nimbus,True,200
pivot,0,3,3,,452d82da-5db6-41ac-b2ae-74819498c092,,,,,,,,,,,,,,,,,502
pivot,0,3,4,3,452d82da-5db6-41ac-b2ae-74819498c092,175,0,6,0,0,21632,1296,0.004022,15417,none,default,0.010985,False,True,Project Nimbus,True,200
pivot,0,3,5,4,452d82da-5db6-41ac-b2ae-74819498c092,231,0,8,0,0,8110,684,0.001627,8673,none,default,0.012612,False,True,Flutter,True,200
pivot,0,3,6,,452d82da-5db6-41ac-b2ae-74819498c092,,,,,,,,,,,,,,,,,502
pivot,0,3,7,,452d82da-5db6-41ac-b2ae-74819498c092,,,,,,,,,,,,,,,,,502
pivot,0,3,8,5,452d82da-5db6-41ac-b2ae-74819498c092,124,0,10,0,0,8927,664,0.001737,7021,none,default,0.014349,True,True,Flutter,True,200
pivot,0,3,9,6,452d82da-5db6-41ac-b2ae-74819498c092,109,0,12,0,0,9781,700,0.001887,8786,none,default,0.016236,False,True,Flutter,True,200
contradiction,0,1,1,1,b07f5440-8ddd-4ed4-acc2-59d20d082250,210,0,2,0,0,5388,542,0.001133,7665,none,default,0.001133,True,True,Project Nimbus,True,200
contradiction,0,1,2,2,b07f5440-8ddd-4ed4-acc2-59d20d082250,160,0,4,0,0,11443,849,0.002226,10893,none,default,0.003359,False,True,Project Nimbus,True,200
contradiction,0,1,3,,b07f5440-8ddd-4ed4-acc2-59d20d082250,,,,,,,,,,,,,,,,,502
contradiction,0,1,4,3,b07f5440-8ddd-4ed4-acc2-59d20d082250,129,0,6,0,0,2919,284,0.000608,3583,none,default,0.003967,True,True,Project Nimbus,True,200
contradiction,0,1,5,,b07f5440-8ddd-4ed4-acc2-59d20d082250,,,,,,,,,,,,,,,,,502
contradiction,0,1,6,4,b07f5440-8ddd-4ed4-acc2-59d20d082250,104,0,8,0,0,3276,279,0.000659,3393,none,default,0.004626,True,True,Project Nimbus,True,200
contradiction,0,1,7,5,b07f5440-8ddd-4ed4-acc2-59d20d082250,115,0,10,0,0,3633,280,0.000713,3085,none,default,0.005339,True,True,Project Nimbus,True,200
contradiction,0,1,8,,b07f5440-8ddd-4ed4-acc2-59d20d082250,,,,,,,,,,,,,,,,,502
contradiction,0,1,9,6,b07f5440-8ddd-4ed4-acc2-59d20d082250,78,0,12,0,0,3982,281,0.000766,3299,none,default,0.006105,True,True,Project Nimbus,True,200
contradiction,0,2,1,,fc07623f-8607-486b-956a-22c34aaf2ce1,,,,,,,,,,,,,,,,,502
contradiction,0,2,2,,fc07623f-8607-486b-956a-22c34aaf2ce1,,,,,,,,,,,,,,,,,502
contradiction,0,2,3,1,fc07623f-8607-486b-956a-22c34aaf2ce1,133,0,2,0,0,2170,92,0.000381,1556,none,default,0.000381,True,True,30000 EUR,False,200
contradiction,0,2,4,2,fc07623f-8607-486b-956a-22c34aaf2ce1,129,0,4,0,0,2344,103,0.000413,1635,none,default,0.000794,True,True,30000 EUR,False,200
contradiction,0,2,5,3,fc07623f-8607-486b-956a-22c34aaf2ce1,120,0,6,0,0,2525,105,0.000442,1822,none,default,0.001236,True,True,30000 EUR,False,200
contradiction,0,2,6,4,fc07623f-8607-486b-956a-22c34aaf2ce1,104,0,8,0,0,2707,102,0.000467,1478,none,default,0.001703,True,True,30000 EUR,False,200
contradiction,0,2,7,5,fc07623f-8607-486b-956a-22c34aaf2ce1,115,0,10,0,0,2874,107,0.000495,2491,none,default,0.002198,True,True,30000 EUR,False,200
contradiction,0,2,8,6,fc07623f-8607-486b-956a-22c34aaf2ce1,143,0,12,0,0,21456,1220,0.00395,16816,none,default,0.006148,False,True,80000 EUR,False,200
contradiction,0,2,9,7,fc07623f-8607-486b-956a-22c34aaf2ce1,78,0,12,0,112,3429,333,0.000714,3687,none,default,0.006862,True,True,80000 EUR,False,200
contradiction,0,3,1,,f08a5be6-f040-40cd-a23f-9802fad633b1,,,,,,,,,,,,,,,,,502
contradiction,0,3,2,,f08a5be6-f040-40cd-a23f-9802fad633b1,,,,,,,,,,,,,,,,,502
contradiction,0,3,3,1,f08a5be6-f040-40cd-a23f-9802fad633b1,133,0,2,0,0,2170,108,0.00039,1594,none,default,0.00039,True,True,30000 EUR,False,200
contradiction,0,3,4,2,f08a5be6-f040-40cd-a23f-9802fad633b1,129,0,4,0,0,2360,104,0.000416,1590,none,default,0.000806,True,True,30000 EUR,False,200
contradiction,0,3,5,3,f08a5be6-f040-40cd-a23f-9802fad633b1,120,0,6,0,0,2542,100,0.000441,1714,none,default,0.001247,True,True,30000 EUR,False,200
contradiction,0,3,6,4,f08a5be6-f040-40cd-a23f-9802fad633b1,104,0,8,0,0,2719,119,0.000479,1691,none,default,0.001726,True,True,30000 EUR,False,200
contradiction,0,3,7,5,f08a5be6-f040-40cd-a23f-9802fad633b1,115,0,10,0,0,2916,104,0.0005,1565,none,default,0.002226,True,True,30000 EUR,False,200
contradiction,0,3,8,6,f08a5be6-f040-40cd-a23f-9802fad633b1,143,0,12,0,0,3109,107,0.000531,1973,none,default,0.002757,True,True,80000 EUR,False,200
contradiction,0,3,9,7,f08a5be6-f040-40cd-a23f-9802fad633b1,78,0,12,0,418,3270,107,0.000555,1571,none,default,0.003312,True,True,80000 EUR,False,200
growing,5,2,1,,977b6858-ce29-49cf-8205-30f34e4c7788,,,,,,,,,,,,,,,,,502
growing,5,1,1,1,eec31d9e-9aba-49fa-85f6-874764969fc4,5391,5121,2,0,0,47172,1620,0.008048,28571,none,default,0.008048,False,True,Project Nimbus,True,200
growing,5,3,1,1,2930f18e-59c3-4795-b027-b0b0d19c3813,5391,5121,2,0,0,32859,1380,0.005757,19496,none,default,0.005757,False,True,Project Nimbus,True,200
growing,20,1,1,1,c29540be-a6d9-4e93-82f9-248e5ade07a0,20755,20484,2,0,0,14075,551,0.002442,7143,none,default,0.002442,True,True,Project Nimbus,True,200
growing,20,3,1,,89c2ed12-a7eb-4b66-9d0e-140c5ae103b9,,,,,,,,,,,,,,,,,502
growing,20,2,1,1,c1a7c0bb-d843-43b5-bdcf-464e61f315a0,20755,20484,2,0,0,6524,318,0.001169,4585,none,default,0.001169,True,True,Project Nimbus,True,200
growing,50,2,1,,def80a14-d0f1-49c8-a5ee-1c2c985dab3f,,,,,,,,,,,,,,,,,502
growing,50,1,1,1,c4781147-0b69-4348-9053-bf7eed0ffe05,51481,51210,2,0,0,27075,574,0.004406,7587,none,default,0.004406,True,True,Project Nimbus,True,200
growing,50,3,1,,4a606418-6feb-4439-8ed5-f319f337cfdb,,,,,,,,,,,,,,,,,502
growing,100,1,1,1,1cb4432a-be50-43a8-b9f4-e9435263e53e,60272,60000,2,0,0,30827,608,0.004989,9115,none,default,0.004989,False,True,Project Nimbus,True,200
growing,100,2,1,,b98b10d3-206f-45c4-bd46-f27bbe3a6fd5,,,,,,,,,,,,,,,,,502
growing,100,3,1,1,b774ee27-c8db-4e9b-82c8-3a44d136f0ca,60272,60000,2,0,0,30773,554,0.004948,7312,none,default,0.004948,True,True,Project Nimbus,True,200
